Series_Accession,Platform,Platform_Description,Sample,Drug,Disease,Tissue,PMID,Download,file_path,normalized
GSE97810,GPL10904,Illumina HumanHT-12 V4.0 expression beadchip (gene symbol),1068,Hepatitis B vaccine,Rheumatoid arthritis ,Whole Blood; PBMC; CD4; CD8; CD14,35534493,Yes,,
GSE183534,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),1055,TeraTox(assay),teratogenicity,hiPSC-derived embryoid bodies (EBs),35485993,No,,
GSE155771,GPL16791,Illumina HiSeq 2500 (Homo sapiens),759,,liver disease,HLCs; hiPSC; primary human hepatocytes (PHH); HepG2 liver cancer cells,33545341,,,
GSE186102,GPL30877,Nanostring nCounter human ELEMENTS TAGSETS,473,Eribulin,Breast cancer,SCR; 2W; SUR,34824288,Yes,,
GSE152004,GPL11154,Illumina HiSeq 2000 (Homo sapiens),695,,"COVID-19; Type 2-High Asthma
",nasal airway epithelium,33046696; 35347136,,,
GSE93777,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,448,DMARDs(methotrexate; infliximab; and tocilizumab),rheumatoid arthritis,whole-blood transcriptome; serum proteome; peripheral cell counts,30013029,Yes,,
GSE119291,GPL16791,Illumina HiSeq 2500 (Homo sapiens),5718,135 drugs,schizophrenia,neural progenitor cells; cancer cell lines,30356048,Yes,,
GSE222593,GPL16791; GPL20301,"Illumina HiSeq 2500 (Homo sapiens); Illumina HiSeq 4000 (Homo sapiens)
",355,Omeprazole; Phenobarbital; Dexamethasone; Carbamazepine; Phenytoin; Rifampicine,health disparities in disease,RNA samples from cultured liver hepatocytes,,Yes,,
GSE20685,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,327,adjuvant chemotherapy; methotrexate,Breast cancer,breast cancer tissue,21501481,Yes,,
GSE158765,GPL20301,Illumina HiSeq 4000 (Homo sapiens),324,Aspirin ,Antiplatelet exposures,platelet,34705291,Yes,,
GSE138746,GPL20301,Illumina HiSeq 4000 (Homo sapiens),240,adalimumab (ADA); etanercept (ETN),rheumatoid arthritis,PBMCs; monocytes; CD4+ T cells,32909363,Yes,,
GSE150734,GPL19886,NanoString Prognostic Liver Signature (PLS) panel (186 genes; ver.1),309,epigallocatechin gallate; cenicriviroc(combining PPARalpha agonism),HCV; NAFLD,clinical liver tissues,34951993,,,
GSE149050,GPL16791,Illumina HiSeq 2500 (Homo sapiens),288,belimumab,Systemic lupus erythematosus (SLE),patients blood,33674349,,,
GSE149428,GPL16791,Illumina HiSeq 2500,282,LINCS drug combination dataset(especially tamoxifen and mefloquine),breast cancer; prostate cancer,breast cance cell line; prostate cancer cell line,32945258,,,
GSE51068,GPL13667,[HG-U219] Affymetrix Human Genome U219 Array,282,14 drug compounds,Lymphoma cancer,Diffuse Large B-Cell Lymphoma (DLBCL) OCI-LY3 cell line,,,,
GSE93272,GPL16791,Illumina HiSeq 2500 (Homo sapiens),266,Synthetic glucocorticoid DEX,PTSD,hiPSC-derived glutamatergic neuron; PBMCs,36266471,,,
GSE66843,GPL10558; GPL17230; GPL18573; GPL19886; GPL20084; GPL21697; GPL21805,Illumina HumanHT-12 V4.0 expression beadchip (gene symbol),265,nizatidine,Chronic liver disease; hepatocellular carcinoma,liver tissues,34535664,,,
GSE159721,GPL20795,HiSeq X Ten (Homo sapiens),246,,ACGEJ,123 pairs of tumor and adjacent normal tissue samples,,,,
GSE123845,GPL16791,Illumina HiSeq 2500 (Homo sapiens),227,NAC treatment,breat cancer,110 pairs of serial tumor biopsies,33268821,,,
GSE20119,GPL9960; GPL9962        ,"MRC Human IIR 0.2K v1; MRC Human IIR 37 v1
",224,peginterferon(IFN),Chronic hepatitis C,liver biopsy specimen,21603632,,,
GSE32036,GPL6884; GPL10558,"Illumina HumanWG-6 v3.0 expression beadchip; Illumina HumanHT-12 V4.0 expression beadchip
",222,sorafenib monotherapy,non-small-cell lung cancer,Lung biopsy ,23091115; 24618618; 32512502,,,
GSE69405,GPL16791,Illumina HiSeq 2500 (Homo sapiens),208,a panel of 25 anti-cancer agents,lung adenocarcinoma,PDX cells,26084335,,,
GSE130788,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),199,Neoadjuvant Trastuzumab; Lapatinib; Combination of Trastuzumab and Lapatinib; Docetaxel; Carboplatin with Trastuzumab; Lapatinib,HER2+ Breast Cancer,tumor biopsies,33951110,,,
GSE89401,GPL13534; GPL16131; GPL17586,Illumina HumanMethylation450 BeadChip (HumanMethylation450_15017482); [CytoScanHD_Array] Affymetrix CytoScan HD Array; [HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],199,Drug and Radiation Response,glioblastoma multiforme(GBM),libraries of glioma-initiating cell (GIC) clones,27974212,,,
GSE111015,GPL20301,Illumina HiSeq 4000 (Homo sapiens),188,ibrutinib,Chronic lymphocytic leukemia,primary immune cell; peripheral blood mononuclear cells,31996669,,,
GSE85333,GPL22299,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [gene name version],185,escitalopram; nortriptyline; indomethacin; prednisolone; anti-TNFα antibody,depression,primary human monocyte derived macrophages,29377288,,,
GSE166181,GPL21697,NextSeq 550 (Homo sapiens),183,Immune checkpoint inhibitors,Metastatic melanoma,Peripheral CD8 T cells,33723257,,,
GSE68453,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,180,PLX4720 (targeted inhibitor of mutated BRAF); lapatinib (inhibitor of the ERBB family of receptor tyrosine kinases),cutaneous melanomas,a panel of 12 treatment-naïve BRAFV600E mutant melanoma cell lines,26673621,,,
GSE39754,GPL5175,[HuEx-1_0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version],176,Bortezomib; P5091; lenalidomide; HDAC inhibitor SAHA; dexamethasone,,multiple myeloma (MM) cells.,22975377,,,
GSE7851,GPL13158,[HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,170,intramuscular IFN-β1a (Avonex®),RRMS/CIS,Whole blood,,,,
GSE10255,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,161,Methotrexate,acute lymphoblastic leukemia (ALL),bone marrow,18416598,,,
GSE182060,GPL30511,NanoString Prognostic Liver Signature (PLS) plus ELS panel (186-gene PLS + 10-gene extension),156,cenicriviroc,HCV; NAFLD,Liver bioosy,34951993,,,
GSE3578,"	
GPL2895",GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,156,cisplatin with radiotherapy; radiotherapy,Cervical cancer,biopsy sample,17582213,,,
GSE193695,GPL18460,Illumina HiSeq 1500 (Homo sapiens),148,Lenalidomide; ixazomib (proteasome inhibitor),Multiple myeloma (MM),Bone marrow cells,35992084,,,
GSE120178,GPL16791,Illumina HiSeq 2500 (Homo sapiens),147,golimumab and mavrilimumab,rheumatoid arthritis,peripheral blood,30358109,,,
GSE89399,GPL17586,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],146,KIT inhibitor and lysine-specific demethylase 1 (LSD1) inhibitor,KIT mutant acute myeloid leukemia (AML),AML cell lines and primary patient samples,35590033,,,
GSE143272,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,142,Antiepileptic drugs,epilepsy,peripheral blood samples,30826443; 32054883,,,
GSE45757,GPL571,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array,141,MEK1/2 inhibition,pancreatic cancer,pancreatic cancer cell lines,22833572,,,
GSE70503,GPL11154,Illumina HiSeq 2000 (Homo sapiens),139,389 pharmacogenes,,liver; kidney; heart; adipose tissue; and lymphoblastoid cell lines,26856248,,,
GSE65221,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,136,,insulin resistance,Subcutaneous adipose tissue,25868721,,,
GSE31348,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,135,antituberculosis drugs,tuberculosis,whole blood,22872737,,,
GSE16879,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,133,infliximab,inflammatory bowel disease,Mucosal biopsies,19956723,,,
GSE33072,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],131,EGFR inhibitors and PI3K/Akt pathway inhibitors,Non-small cell lung cancer (NSCLC),Epithelial and mesenchymal cell lines and NSCLC patient samples,23091115,,,
GSE37892,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,127,TSLP pathway blockade,asthma,BAL fluid samples,23810153,,,
GSE130633,GPL18573,Illumina NextSeq 500 (Homo sapiens),126,losmapimod,immunity of aged people,Skin,,,,
GSE143897,GPL16791,Illumina HiSeq 2500 (Homo sapiens),123,neoadjuvant chemotherapy,HGSOC,Tumor tissue; ascites cells,35031546,,,
GSE185908,GPL20301,Illumina HiSeq 4000 (Homo sapiens),120,Hydrocortisone; CORT108297,,B-lymphoblastoid cell lines (LCLs),36399508,,,
GSE108277,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,120,Cetuximab or panitumumab (both monoclonal antibodies that block EGFR),Metastatic colorectal cancer (mCRC),Patient-derived xenografts (PDXs) from mCRC,GPL10558,,,
GSE412,GPL8300,"Affymetrix Human Genome U95 Version 2 Array",120,methotrexate and mercaptopurine,acute lymphoblastic leukemia,lymphoid leukemia cells,12704389; 20981007,,,
GSE32862,GPL6883,Illumina HumanRef-8 v3.0 expression beadchip,119,Poly ICLC,Not applicable (this is a study on the immune response to a synthetic double-stranded RNA),Human blood,22065672,,,
GSE5462,GPL96,Affymetrix Human Genome U133A Array,116,Letrozole (Femara),Breast cancer,biopsies ,20646288,,,
GDS3116,GPL96,Affymetrix Human Genome U133A Array,116,Letrozole (Femara),Breast cancer,Breast cancer tumors,17885619; 20646288,,,
GSE183984,GPL16791,Illumina HiSeq 2500 (Homo sapiens),113,Cetuximab,Colon cancer,Formalin-fixed paraffin-embedded (FFPE) tumor tissue,34779495; 35102212,,,
GSE199452,GPL11154,Illumina HiSeq 2000 (Homo sapiens),111,Not applicable (study focused on AML hierarchy composition and drug sensitivity profiling),Acute myeloid leukemia (AML),AML fractions sorted based on CD34 and CD38,35618837,,,
GSE112608,GPL18573;GPL19132	,Illumina NextSeq 500 (Homo sapiens; Drosophila melanogaster),111,KL-1 and KL-2,MYC-induced cancer,Drosophila and human cells,30340042,,,
GSE130786,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),110,Trastuzumab; Lapatinib; Docetaxel; Carboplatin,HER2+ Breast Cancer,Breast,31067505,,,
GSE67255,GPL6244,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],108,Hydrocortisone,,Blood,26972611,,,
GSE23991,GPL6104,Illumina humanRef-8 v2.0 expression beadchip,108,zebularine,human liver cancer,liver,20962331,,,
GSE6630,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,108,Carbon beams (C-ions),Malignant melanoma,Human melanoma cell lines,18386195,,,
GSE99680,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",107,,Breast cancer,Normal human primary breast epithelial cells and primary breast tumors,31110002,,,
GSE70461,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",107,,Preterm infants,Blood,28259955,,,
GSE58377,GPL15520; GPL16791	,Illumina MiSeq (Homo sapiens); Illumina HiSeq 2500 (Homo sapiens),107,Smoothened (SMO) inhibitors,advanced basal cell carcinoma (BCC),,25759020,,,
GSE37199,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",107,,Prostate cancer,Whole blood,23059046,,,
GSE105083,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",104,CM03,Pancreatic ductal adenocarcinoma (PDAC),,29356532,,,
GSE12062,GPL4348,CRUKDMF_22K_v1.0.0,104,ES-285,Solid tumors,Blood and skin biopsies,19509256,,,
GSE63782,GPL11154; GPL13112; GPL16791,Illumina HiSeq 2000 (Homo sapiens; Mus musculus; Homo sapiens),103,JQ1,Leukemia,Cancer cell lines; leukemia cell line,26367798,,,
GSE165611,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),102,Alpelisib; cell cycle inhibitors; XAV939,Advanced or refractory lung cancer,Lung cancer patient-derived cells,36717865,,,
GSE107894,GPL16791,Illumina HiSeq 2500 (Homo sapiens),100,Metformin,Aging; impaired glucose tolerance,Skeletal muscle and subcutaneous adipose tissue,29383869,,,
GSE29998,GPL6947,"Illumina HumanHT-12 V3.0 expression beadchip",99,,Gastric adenocarcinoma (gastric cancer),Gastric (stomach) tissue,21781349,,,
GSE206741,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",96,,,,,,,
GSE123285,GPL20301,Illumina HiSeq 4000 (Homo sapiens),96,Fulvestrant; 4-HydroxyTamoxifen; and JQ1 (all are used for the treatment of breast cancer),Breast cancer,MCF7 cells (breast cancer cell line),31913353,,,
GSE180210,GPL24676,"Illumina NovaSeq 6000 (Homo sapiens)",96,SCH772984 (an ERK inhibitor),,RPE cells (Retinal Pigment Epithelial cells),,,,
GSE54254,GPL13158,"Affymetrix HT HG-U133+ PM Array Plate",96,Diclofenac and carbamazepine (both are hepatotoxic drugs),Drug-induced liver injury (DILI),HepG2 cells (human hepatoma cells),24752500,,,
GSE221868,GPL30173; GPL32628,NextSeq 2000 (Homo sapiens; synthetic construct),94,Risdiplam and branaplam (both are splice-modifying drugs),Spinal muscular atrophy,HeLa cells (cervical cancer cell line) and synthetic constructs,,,,
GSE225740,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",93,,Nonalcoholic fatty liver disease (NAFLD),Liver,36927865,,,
GSE132195,GPL21290,"Illumina HiSeq 3000 (Homo sapiens)",93,biologic therapy for psoriasis,psoriasis,psoriatic plaques,31715177,,,
GSE64123,GPL15798	,"Affymetrix HT HG-U133+ PM Array Plate",93,Valproic acid (VPA) and carbamazepine (CBZ),Neurodevelopmental toxicity,Human embryonic stem cells (hESC),25979313,,,
GSE14618,GPL96; GPL570,Affymetrix Human Genome U133A Array & U133 Plus 2.0 Array,92,,T-cell acute lymphoblastic leukemia (T-ALL),Blood,17495134,,,
GSE196434,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",91,BRAF inhibitors or BRAF and MEK inhibitors.,Melanoma,Metastases from melanoma lesions,35643181,,,
GSE24943,GPL9700	,"SFGF HEEBO Human Set v1.00 with custom orthopox oligos",91,Recombinant nematode anticoagulant protein c2 (rNAPc2) and recombinant human activated protein C (rhAPC),Zaire Ebola Virus (ZEBOV)-infected rhesus macaques,Blood (PBMCs),21987740,,,
GSE6213,GPL2895	,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,90,,Cervical cancer,Uterine cervix tumors,,,,
GSE46581,GPL8432,"Illumina HumanRef-8 WG-DASL v3.0",90,,Triple negative breast cancer,Breast cancer tissue samples,24260093,,,
GSE136929,GPL11154; GPL20795; GPL24676	,"Illumina HiSeq 2000 (Homo sapiens); HiSeq X Ten (Homo sapiens); Illumina NovaSeq 6000 (Homo sapiens)
",89,SYK inhibitors,Retinoblastoma,Retinal organoids,33318192,,,
GSE130787,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),89,Trastuzumab or lapatinib or the combination of trastuzumab and lapatinib; followed by docetaxel and carboplatin with trastuzumab and/or lapatinib,HER2+ breast cancer,breast,33951110,,,
GSE11903,GPL571,Affymetrix Human Genome U133A 2.0 Array,89,Etanercept,Psoriasis vulgaris,Lesional and non-lesional skin,19895991,,,
GSE93984,GPL570,"Affymetrix Human Genome U133 Plus 2.0 Array",88,Ibrutinib and ABT-199,Diffuse large B-cell lymphoma (DLBCL) and follicular lymphoma (FL),Tumor biopsy samples,28428442,,,
GSE194249,GPL31265,"Hiseq X ten (Homo sapiens)",87,,Human pancreatic cancer,Pancreatic cancer organoids,,,,
GSE161801,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",87,,Relapsed/refractory multiple myeloma,Bone marrow,34845188,,,
GSE64460,GPL11154; GPL13112,Illumina HiSeq 2000 (Homo sapiens; Mus musculus),86,TZD drugs (thiazolidinediones); anti-diabetic drugs that activate PPARγ,Dysmetabolic traits; metabolic syndrome,Adipose tissue; human fat,21854987,,,
GSE14797,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,86,,Colorectal adenomas,Colon,19470793,,,
GSE173574,GPL18573; GPL19057,Illumina NextSeq 500 (Homo sapiens; Mus musculus),84,dTAG-13; dTAG-VHL; EPZ-5676; VTP-50469; DOT1L; MENIN,,murine and human cells; murine neutrophils,,,,
GSE141333,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",84,Ibrutinib,Mantle cell lymphoma,,33730585,,,
GSE114686,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",84,Erlotinib; Lapatinib; Sorafenib; and Sunitinib, (study focused on defining molecular markers of tyrosine kinase inhibitor-induced cardiotoxicity),Human induced pluripotent stem cell-derived cardiomyocytes,31078528,,,
GSE1647,GPL550,"UNC compugen oligo array for toxgenomics study",83,doxorubicin; 5-fluorouracil; etoposide,breast cancer,breast cell lines,15598611,,,
GDS1627,GPL550,UNC compugen oligo array for toxgenomics study,83,Doxorubicin; 5-Fluorouracil (5FU); Etoposide,Breast cancer,Breast cell lines (derived from basal-like and luminal epithelium),15598611,,,
GSE77039,GPL11154,"Illumina HiSeq 2000 (Homo sapiens)",82,GW3965 and rosiglitazone,Colorectal cancer,HT29 cells,27401066,,,
GSE65297,GPL16025,NimbleGen Homo sapiens Expression Array,82,Sodium valproate (VPA) and Suberoylanilide hydroxamic acid (SAHA),,AH LCL cells and GM12878 cells,,,,
GSE29868,GPL570v,Affymetrix Human Genome U133 Plus 2.0 Array,59,TPA (phorbol-12-myristate-13-acetate) and KL (K252a),Epidermal progenitor maintenance,Skin,35906225,,,
GSE21138,GPL570v,"Affymetrix Human Genome U133 Plus 2.0 Array",59,,Schizophrenia,Prefrontal cortex (BA46),18778695,,,
GSE145325,GPL21290	,Illumina HiSeq 3000 (Homo sapiens),58,letrozole,ER+ breast cancer,breast tumor,33127913,,,
